iter	Passed	Remaining
1092	122980	2127341
1093	123086	2127116
1094	123200	2127039
1095	123315	2126973
1096	123426	2126825
1097	123534	2126634
1098	123656	2126691
1099	123769	2126577
1100	123884	2126510
1101	124003	2126518
1102	124121	2126492
1103	124227	2126273
1104	124341	2126188
1105	124453	2126064
1106	124570	2126020
1107	124670	2125698
1108	124790	2125715
1109	124900	2125561
1110	125011	2125425
1111	125120	2125241
1112	125236	2125198
1113	125349	2125082
1114	125460	2124943
1115	125573	2124848
1116	125695	2124891
1117	125797	2124612
1118	125908	2124468
1119	126019	2124330
1120	126136	2124294
1121	126249	2124180
1122	126361	2124069
1123	126469	2123878
1124	126586	2123840
1125	126700	2123749
1126	126825	2123855
1127	126945	2123864
1128	127059	2123779
1129	127178	2123763
1130	127290	2123650
1131	127409	2123642
1132	127522	2123540
1133	127643	2123572
1134	127755	2123434
1135	127869	2123350
1136	127986	2123316
1137	128105	2123309
1138	128215	2123147
1139	128328	2123046
1140	128444	2122989
1141	128559	2122927
1142	128676	2122874
1143	128792	2122818
1144	128912	2122828
1145	129023	2122691
1146	129140	2122653
1147	129261	2122677
1148	129373	2122560
1149	129487	2122471
1150	129595	2122286
1151	129716	2122298
1152	129826	2122142
1153	129937	2122016
1154	130055	2121994
1155	130165	2121839
1156	130275	2121684
1157	130392	2121631
1158	130504	2121521
1159	130613	2121343
1160	130723	2121181
1161	130839	2121136
1162	130951	2121014
1163	131062	2120869
1164	131184	2120907
1165	131290	2120684
1166	131406	2120636
1167	131520	2120537
1168	131633	2120438
1169	131741	2120246
1170	131858	2120213
1171	131981	2120266
1172	132088	2120054
1173	132203	2119980
1174	132324	2119999
1175	132448	2120081
1176	132551	2119815
1177	132671	2119817
1178	132783	2119699
1179	132888	2119453
1180	133006	2119428
1181	133116	2119273
1182	133229	2119172
1183	133340	2119026
1184	133452	2118908
1185	133568	2118852
1186	133674	2118632
1187	133791	2118583
1188	133908	2118547
1189	134025	2118500
1190	134149	2118576
1191	134263	2118480
1192	134375	2118355
1193	134494	2118348
1194	134614	2118352
1195	134727	2118235
1196	134836	2118077
1197	134946	2117912
1198	135055	2117739
1199	135166	2117603
1200	135288	2117643
1201	135392	2117389
1202	135514	2117431
1203	135628	2117332
1204	135735	2117135
1205	135854	2117126
1206	135972	2117091
1207	136082	2116944
1208	136194	2116822
1209	136310	2116760
1210	136421	2116611
1211	136527	2116407
1212	136633	2116184
1213	136754	2116206
1214	136871	2116160
1215	136987	2116090
1216	137093	2115888
1217	137197	2115641
1218	137309	2115513
1219	137411	2115239
1220	137524	2115133
1221	137635	2114989
1222	137747	2114869
1223	137865	2114834
1224	137983	2114803
1225	138088	2114575
1226	138201	2114465
1227	138317	2114415
1228	138428	2114277
1229	138532	2114021
1230	138648	2113967
1231	138758	2113817
1232	138872	2113720
1233	138983	2113580
1234	139098	2113509
1235	139205	2113313
1236	139326	2113318
1237	139437	2113180
1238	139548	2113051
1239	139659	2112908
1240	139777	2112883
1241	139896	2112864
1242	140013	2112824
1243	140126	2112717
1244	140247	2112729
1245	140368	2112730
1246	140467	2112420
1247	140578	2112279
1248	140699	2112295
1249	140812	2112183
1250	140931	2112168
1251	141048	2112116
1252	141165	2112080
1253	141278	2111962
1254	141379	2111687
1255	141492	2111572
1256	141610	2111546
1257	141724	2111444
1258	141839	2111362
1259	141948	2111196
1260	142063	2111130
1261	142181	2111092
1262	142293	2110970
1263	142405	2110848
1264	142514	2110684
1265	142629	2110607
1266	142739	2110444
1267	142847	2110267
1268	142960	2110166
1269	143066	2109946
1270	143176	2109803
1271	143286	2109651
1272	143390	2109404
1273	143504	2109310
1274	143625	2109323
1275	143742	2109268
1276	143854	2109158
1277	143970	2109085
1278	144077	2108897
1279	144183	2108683
1280	144295	2108560
1281	144411	2108497
1282	144524	2108389
1283	144633	2108230
1284	144750	2108177
1285	144858	2107992
1286	144971	2107881
1287	145078	2107686
1288	145186	2107511
1289	145300	2107423
1290	145422	2107447
1291	145528	2107230
1292	145643	2107159
1293	145751	2106969
1294	145867	2106918
1295	145978	2106781
1296	146101	2106813
1297	146231	2106952
1298	146351	2106937
1299	146457	2106734
1300	146568	2106592
1301	146677	2106428
1302	146793	2106371
1303	146902	2106201
1304	147010	2106030
1305	147124	2105926
1306	147239	2105849
1307	147344	2105625
1308	147453	2105467
1309	147562	2105299
1310	147672	2105145
1311	147783	2105015
1312	147888	2104787
1313	147992	2104552
1314	148101	2104391
1315	148214	2104284
1316	148334	2104274
1317	148446	2104158
1318	148563	2104100
1319	148686	2104136
1320	148795	2103968
1321	148905	2103831
1322	149020	2103745
1323	149129	2103581
1324	149248	2103555
1325	149356	2103384
1326	149471	2103306
1327	149596	2103364
1328	149705	2103203
1329	149826	2103204
1330	149932	2102999
1331	150041	2102830
1332	150158	2102786
1333	150277	2102763
1334	150389	2102639
1335	150505	2102573
1336	150624	2102543
1337	150734	2102393
1338	150844	2102245
1339	150961	2102191
1340	151073	2102075
1341	151194	2102074
1342	151302	2101902
1343	151416	2101810
1344	151527	2101666
1345	151646	2101643
1346	151761	2101570
1347	151873	2101444
1348	151986	2101335
1349	152091	2101120
1350	152209	2101073
1351	152324	2100996
1352	152438	2100902
1353	152551	2100791
1354	152667	2100721
1355	152778	2100586
1356	152900	2100604
1357	153010	2100452
1358	153129	2100428
1359	153250	2100427
1360	153356	2100228
1361	153458	2099972
1362	153571	2099866
1363	153687	2099797
1364	153799	2099668
1365	153904	2099461
1366	154013	2099290
1367	154124	2099152
1368	154240	2099094
1369	154349	2098932
1370	154463	2098833
1371	154575	2098705
1372	154675	2098423
1373	154787	2098305
1374	154902	2098224
1375	155011	2098056
1376	155130	2098035
1377	155237	2097851
1378	155351	2097749
1379	155456	2097531
1380	155567	2097398
1381	155676	2097239
1382	155788	2097117
1383	155893	2096899
1384	156008	2096820
1385	156118	2096672
1386	156231	2096565
1387	156357	2096633
1388	156470	2096520
1389	156586	2096452
1390	156691	2096246
1391	156809	2096193
1392	156918	2096038
1393	157030	2095912
1394	157146	2095854
1395	157253	2095658
1396	157373	2095648
1397	157492	2095618
1398	157606	2095527
1399	157720	2095430
1400	157833	2095324
1401	157950	2095264
1402	158064	2095169
1403	158171	2094988
1404	158290	2094948
1405	158394	2094725
1406	158516	2094744
1407	158630	2094649
1408	158747	2094581
1409	158864	2094527
1410	158981	2094472
1411	159090	2094318
1412	159189	2094018
1413	159301	2093907
1414	159421	2093885
1415	159531	2093733
1416	159637	2093532
1417	159756	2093515
1418	159869	2093406
1419	159980	2093265
1420	160103	2093292
1421	160221	2093251
1422	160335	2093152
1423	160453	2093109
1424	160562	2092945
1425	160679	2092887
1426	160793	2092796
1427	160903	2092649
1428	161017	2092550
1429	161122	2092344
1430	161234	2092214
1431	161347	2092103
1432	161460	2092000
1433	161577	2091940
1434	161680	2091710
1435	161795	2091618
1436	161914	2091588
1437	162025	2091456
1438	162138	2091350
1439	162252	2091256
1440	162364	2091129
1441	162478	2091040
1442	162582	2090816
1443	162702	2090798
1444	162810	2090626
1445	162926	2090553
1446	163038	2090436
1447	163155	2090374
1448	163267	2090249
1449	163387	2090231
1450	163485	2089927
1451	163601	2089859
1452	163719	2089817
1453	163836	2089759
1454	163954	2089715
1455	164061	2089533
1456	164170	2089373
1457	164294	2089399
1458	164412	2089356
1459	164520	2089184
1460	164640	2089164
1461	164747	2088982
1462	164857	2088838
1463	164967	2088683
1464	165078	2088556
1465	165180	2088305
1466	165292	2088186
1467	165412	2088168
1468	165529	2088102
1469	165641	2087985
1470	165759	2087943
1471	165877	2087896
1472	165997	2087876
1473	166113	2087798
1474	166227	2087700
1475	166346	2087671
1476	166474	2087747
1477	166583	2087587
1478	166705	2087598
1479	166819	2087501
1480	166929	2087348
1481	167034	2087137
1482	167150	2087071
1483	167262	2086945
1484	167374	2086828
1485	167484	2086686
1486	167598	2086587
1487	167713	2086506
1488	167829	2086428
1489	167932	2086191
1490	168053	2086183
1491	168165	2086066
1492	168293	2086145
1493	168403	2085988
1494	168508	2085788
1495	168621	2085671
1496	168735	2085579
